empresa,horizonte,model,kernel,selection_score,f1_mean,acc_mean,delta_f1_vs_baseline,delta_acc_vs_baseline
BANCO GUAYAQUIL S.A.,h5,svc_linear,linear,21.555899482661506,0.4343268322129714,0.5901960784313726,0.08480245508875034,0.06372549019607854
CORPORACION FAVORITA C.A.,h20,svc_rbf,rbf,21.373932829197397,0.4420949051481137,0.5300653594771242,0.18014854415060444,0.007843137254901933
