fecha,empresa,close_last,close_vwap,volume_shares_day,turnover_value_day,n_trades_day,ret_lag_1,ret_lag_2,ret_lag_3,mom_3,mom_5,mom_10,vol_5,vol_10,regime_vol_ratio,ma_5,ma_10,ma_gap,price_vs_ma10,rsi_14,turnover_log1p,volume_log1p,avg_trade_size_log1p,amihud_5,days_since_trade,ret_fwd_h1,ret_fwd_h5,ret_fwd_h20,target_up_h1,target_up_h5,target_up_h20,target_up_h20_thr003
2019-02-13,BANCO GUAYAQUIL S.A.,0.97,0.97,35000.0,33950.0,1.0,0.0408219945202552,-0.040821994520255166,0.0,3.469446951953614e-17,0.040821994520255235,0.0304592074847088,0.03415413101849059,0.024103230404076213,1.416993923407778,0.984,0.975,0.009000000000000008,0.025641025639973725,62.45202196947476,10.432673587634051,10.463131911491967,10.463131911490967,1.6240910571349357e-05,1.0,0.030459207484708654,0.030459207484708654,-0.010362787035546547,1.0,1.0,0.0,0.0
2019-02-19,BANCO GUAYAQUIL S.A.,1.0,1.0,2046.0,2046.0,6.0,-0.030459207484708574,0.0408219945202552,-0.040821994520255166,-0.03045920748470854,0.010362787035546661,0.010362787035546772,0.038423923405226795,0.026100457648617615,1.4721551599226357,0.986,0.976,0.010000000000000009,-0.0061475409846247775,52.66565032146113,7.624130585661289,7.624130585661289,5.834810737062439,1.6420340970952955e-05,6.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-02-20,BANCO GUAYAQUIL S.A.,1.0,1.0,1500.0,1500.0,1.0,0.030459207484708654,-0.030459207484708574,0.0408219945202552,0.040821994520255284,1.1449174941446927e-16,0.030459207484708768,0.03601526452220137,0.027627368423585433,1.303608218079562,0.986,0.9789999999999999,0.007000000000000117,0.02145045965166359,59.078189616342,7.313886831633462,7.313886831633462,7.313886831632463,1.9256542287223834e-05,1.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-02-21,BANCO GUAYAQUIL S.A.,1.0,1.0,591494.0,591494.0,14.0,0.0,0.030459207484708654,-0.030459207484708574,7.979727989493313e-17,1.1449174941446927e-16,0.030459207484708768,0.03601526452220137,0.027627368423585433,1.303608218079562,0.986,0.982,0.0040000000000000036,0.018329938899166676,59.078189616342,13.290408509279475,13.290408509279475,10.651373157630388,1.9256542287223834e-05,1.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-02-26,BANCO GUAYAQUIL S.A.,1.0,1.0,2771.0,2771.0,1.0,0.0,0.0,0.030459207484708654,0.030459207484708654,0.040821994520255284,0.030459207484708768,0.028234176234142434,0.027627368423585433,1.0219640104779943,0.994,0.985,0.009000000000000008,0.015228426394908512,57.1009501440413,7.927324360309794,7.927324360309794,7.927324360308794,3.2895563797843496e-06,5.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-02-27,BANCO GUAYAQUIL S.A.,1.0,1.0,1780.0,1780.0,1.0,0.0,0.0,0.0,0.0,7.632783294297951e-17,0.04082199452025531,0.021537912162005506,0.027260449224649246,0.7900791356637136,0.994,0.9890000000000001,0.004999999999999893,0.011122345802819789,59.99999999588462,7.484930283289661,7.484930283289661,7.484930283288662,3.155415498256128e-06,1.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-02-28,BANCO GUAYAQUIL S.A.,1.0,1.0,31591.0,31591.0,1.0,0.0,0.0,0.0,0.0,0.03045920748470865,0.04082199452025531,0.013621771695315785,0.027260449224649246,0.4996899200949013,1.0,0.993,0.007000000000000006,0.007049345416911379,57.86055482033684,10.360659202966485,10.360659202966485,10.360659202965484,2.9759850986525312e-06,1.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-03-01,BANCO GUAYAQUIL S.A.,1.0,1.0,480.0,480.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.024010176348134245,0.0,1.0,0.993,0.007000000000000006,0.007049345416911379,57.86055482033684,6.175867270105761,6.175867270105761,6.175867270104763,0.0,1.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-03-06,BANCO GUAYAQUIL S.A.,1.0,1.0,125.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.024010176348134245,0.0,1.0,0.993,0.007000000000000006,0.007049345416911379,57.86055482033684,4.836281906951478,4.836281906951478,4.836281906950486,0.0,5.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-03-07,BANCO GUAYAQUIL S.A.,1.0,1.0,60597.0,60597.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04082199452025528,0.0,0.01930836995865791,0.0,1.0,0.9969999999999999,0.0030000000000001137,0.0030090270802378694,61.13017105880467,11.012017168212456,11.012017168212456,8.932691135224651,0.0,1.0,0.0,0.0,-0.05129329438755058,0.0,0.0,0.0,0.0
2019-03-14,BANCO GUAYAQUIL S.A.,1.0,1.0,568429.0,568429.0,3.0,0.0,0.0,0.0,0.0,0.0,7.632783294297951e-17,0.0,0.014358608108003669,0.0,1.0,0.9969999999999999,0.0030000000000001137,0.0030090270802378694,61.13017105880467,13.250633453544864,13.250633453544864,12.152024683333366,0.0,7.0,0.0,-0.05129329438755058,-0.05129329438755058,0.0,0.0,0.0,0.0
