FECHA NEGOCIACIÓN;TÍTULO;EMISOR;NÚMERO DE ACCIONES;V. NOM. UNITARIO;PRECIO;VALOR NOMINAL;VALOR EFECTO;CASA COMPRADORA;CASA VENDEDORA;BOLSA
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;200.00;1.00;2.4400;200.00;488.00;CASAREAL;PICAVAL;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;3.648.00;1.00;2.4500;3.648.00;8.937.60;ORION;ACCIONES Y VALORES;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;3.648.00;1.00;2.4500;3.648.00;8.937.60;ORION;ACCIONES Y VALORES;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;3.531.00;1.00;2.4500;3.531.00;8.650.95;ORION;ACCIONES Y VALORES;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.575.00;1.00;2.4400;1.575.00;3.843.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.277.00;1.00;2.4400;1.277.00;3.115.88;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;200.00;1.00;2.4500;200.00;490.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;100.00;1.00;2.4500;100.00;245.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
09/01/2019;ACCIONES;LA ENSENADA FORESTAL (COVEFOREST) S.A.;26.00;1.00;2.6000;26.00;67.60;ALBION;ALBION;BVG
09/01/2019;ACCIONES;VALLE GRANDE FORESTAL (VALLEYFOREST) S.A.;26.00;1.00;2.6000;26.00;67.60;ALBION;ALBION;BVG
09/01/2019;ACCIONES;HOTEL COLON INTERNACIONAL C.A.;1.000.00;1.00;0.7000;1.000.00;700.00;VALUE;SANTA FE;BVG
09/01/2019;ACCIONES;CERVECERIA NACIONAL CN S.A.;659.00;1.00;93.9900;659.00;61.939.41;ADVFIN S.A.;INTERVALORES;BVG
09/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;200.00;1.00;2.4500;200.00;490.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
10/01/2019;ACCIONES;SURPAPELCORP S.A.;100.00;1.00;4.2500;100.00;425.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
10/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;5.370.00;1.00;2.4900;5.370.00;13.371.30;SILVERCROSS;ORION;BVG
10/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;10.00;1.000.00;1000.0000;10.000.00;10.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
11/01/2019;ACCIONES;BANCO PICHINCHA C.A.;80.00;100.00;100.0000;8.000.00;8.000.00;METROVALORES;METROVALORES;BVG
14/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;1.978.00;1.00;0.9600;1.978.00;1.898.88;SANTA FE;SANTA FE;BVG
14/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;13.022.00;1.00;0.9500;13.022.00;12.370.90;SANTA FE;ORION;BVG
14/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;94.00;3.00;70.0000;282.00;6.580.00;BANRIO;PLUSBURSÁTIL;BVG
14/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;10.00;1.000.00;1000.0000;10.000.00;10.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
14/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;2.00;1.000.00;1000.0000;2.000.00;2.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
14/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;1.00;1.000.00;1000.0000;1.000.00;1.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
14/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;2.500.00;1.00;2.5500;2.500.00;6.375.00;SANTA FE;PLUSBURSÁTIL;BVG
14/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;219.00;1.00;2.5400;219.00;556.26;SANTA FE;SANTA FE;BVG
14/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;300.00;1.00;2.5400;300.00;762.00;SANTA FE;SANTA FE;BVG
14/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;450.00;1.00;2.5400;450.00;1.143.00;SANTA FE;SANTA FE;BVG
14/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;1.731.00;1.00;0.9600;1.731.00;1.661.76;SILVERCROSS;SILVERCROSS;BVG
14/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;3.968.00;1.00;2.5200;3.968.00;9.999.36;ACCIONES Y VALORES;VALUE;BVG
14/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;10.00;1.000.00;1000.0000;10.000.00;10.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
