empresa,horizonte,model,kernel,n_windows,acc_mean,acc_std,f1_mean,f1_std,dir_acc_mean,cv_f1_mean,best_baseline_model,baseline_f1_mean,baseline_acc_mean,delta_f1_vs_baseline,delta_acc_vs_baseline,svc_model,baseline_model,pct_windows_f1_better,pct_windows_acc_better,selection_score
BANCO GUAYAQUIL S.A.,h5,svc_linear,linear,34,0.5901960784313726,0.17533602405369134,0.4343268322129714,0.2609796750340689,0.5901960784313726,0.4039039039039039,baseline_sign_prev,0.3495243771242211,0.526470588235294,0.08480245508875034,0.06372549019607854,svc_linear,baseline_sign_prev,67.64705882352942,70.58823529411765,21.555899482661506
CORPORACION FAVORITA C.A.,h20,svc_rbf,rbf,51,0.5300653594771242,0.26685450900450397,0.4420949051481137,0.33365712529047126,0.5300653594771242,0.3107769423558897,baseline_sign_prev,0.2619463609975093,0.5222222222222223,0.18014854415060444,0.007843137254901933,svc_rbf,baseline_sign_prev,66.66666666666666,49.01960784313725,21.373932829197397
