horizonte,kernel,n_cases,f1_mean,f1_std_mean,acc_mean,acc_std_mean
h1,linear,2,0.3837932358184438,0.1859048968168118,0.554053544494721,0.10971872579154983
h1,poly,2,0.2764283079215774,0.17476155668634405,0.5832013574660633,0.09874719571641691
h1,rbf,2,0.34054137237756743,0.1623106521252406,0.5597473604826546,0.11699166883708667
h20,linear,2,0.2969435367534826,0.3430427075903245,0.5581699346405229,0.3099080683090565
h20,poly,2,0.21918541106307313,0.24246030216947523,0.5111408199643493,0.28197506075827117
h20,rbf,2,0.4174782015725389,0.33255310495044127,0.5554367201426025,0.2625959576468368
h5,linear,2,0.3111042492684155,0.2575265969065561,0.6050339366515838,0.17431831310764012
h5,poly,2,0.2050756129013459,0.21316071217049248,0.5615384615384615,0.18319499749896084
h5,rbf,2,0.3913421938095849,0.2575557000375553,0.573604826546003,0.17045158420143278
