horizonte,kernel,n_cases,f1_mean,f1_std_mean,acc_mean,acc_std_mean
h1,linear,2,0.3837932358184438,0.1859048968168118,0.554053544494721,0.10971872579154983
h20,rbf,2,0.4174782015725389,0.33255310495044127,0.5554367201426025,0.2625959576468368
h5,rbf,2,0.3913421938095849,0.2575557000375553,0.573604826546003,0.17045158420143278
