empresa,horizonte,model,kernel,n_windows,acc_mean,acc_std,f1_mean,f1_std,dir_acc_mean,cv_f1_mean,best_baseline_model,baseline_f1_mean,baseline_acc_mean,delta_f1_vs_baseline,delta_acc_vs_baseline,svc_model,baseline_model,pct_windows_f1_better,pct_windows_acc_better,selection_score
BANCO GUAYAQUIL S.A.,h1,svc_linear,linear,34,0.6049019607843137,0.1095237172602513,0.3963956344777524,0.20024862989511136,0.6049019607843137,0.2936026936026936,baseline_sign_prev,0.33163011734190767,0.5715686274509804,0.06476551713584472,0.033333333333333326,svc_linear,baseline_sign_prev,67.64705882352942,61.76470588235294,19.984500824467283
BANCO GUAYAQUIL S.A.,h20,svc_rbf,rbf,33,0.5808080808080809,0.2583374062891696,0.3928614979969641,0.3314490846104113,0.5808080808080809,,baseline_sign_prev,0.35681749653497624,0.51010101010101,0.036044001461987885,0.07070707070707083,svc_rbf,baseline_sign_prev,48.484848484848484,54.54545454545454,7.8881188760424585
BANCO GUAYAQUIL S.A.,h5,svc_linear,linear,34,0.5901960784313726,0.17533602405369134,0.4343268322129714,0.2609796750340689,0.5901960784313726,0.4039039039039039,baseline_sign_prev,0.3495243771242211,0.526470588235294,0.08480245508875034,0.06372549019607854,svc_linear,baseline_sign_prev,67.64705882352942,70.58823529411765,21.555899482661506
CORPORACION FAVORITA C.A.,h1,svc_linear,linear,52,0.5032051282051282,0.10991373432284836,0.3711908371591353,0.17156116373851224,0.5032051282051282,0.5229037267080745,baseline_sign_prev,0.29447226041411106,0.573076923076923,0.07671857674502425,-0.06987179487179485,svc_linear,baseline_sign_prev,67.3076923076923,32.69230769230769,12.865209614351633
CORPORACION FAVORITA C.A.,h20,svc_rbf,rbf,51,0.5300653594771242,0.26685450900450397,0.4420949051481137,0.33365712529047126,0.5300653594771242,0.3107769423558897,baseline_sign_prev,0.2619463609975093,0.5222222222222223,0.18014854415060444,0.007843137254901933,svc_rbf,baseline_sign_prev,66.66666666666666,49.01960784313725,21.373932829197397
CORPORACION FAVORITA C.A.,h5,svc_rbf,rbf,52,0.5756410256410256,0.16411316896352304,0.3850337311170607,0.2422799750261145,0.5756410256410256,0.6317906836055656,baseline_sign_prev,0.31517584544455335,0.5769230769230769,0.06985788567250734,-0.0012820512820512775,svc_rbf,baseline_sign_prev,53.84615384615385,50.0,12.12743362950453
