index,horizonte,n_empresas,selection_score_mean,selection_score_min,delta_f1_mean,delta_f1_min,delta_acc_mean,f1_mean_avg,acc_mean_avg,f1_std_avg,acc_std_avg,rule_all_empresas_covered,rule_min_delta_f1_positive,rule_min_selection_score_positive,eligible_global
0,h1,2,16.42485521940946,12.865209614351633,0.07074204694043448,0.06476551713584472,-0.01826923076923076,0.3837932358184438,0.554053544494721,0.1859048968168118,0.10971872579154983,True,True,True,True
1,h20,2,14.631025852619928,7.8881188760424585,0.10809627280629616,0.036044001461987885,0.03927510398098638,0.4174782015725389,0.5554367201426025,0.33255310495044127,0.2625959576468368,True,True,True,True
2,h5,2,16.84166655608302,12.12743362950453,0.07733017038062884,0.06985788567250734,0.03122171945701363,0.409680281665016,0.582918552036199,0.2516298250300917,0.1697245965086072,True,True,True,True
