company,model_family,model_name,horizonte,accuracy,f1,train_end_date,created_at_utc
BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,h5,0.8333333333333334,0.9090909090909091,2026-01-21,2026-04-27T17:02:54.735305+00:00
BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,h5,0.36666666666666664,0.45714285714285713,2026-01-21,2026-04-27T18:12:46.804042+00:00
CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,h5,0.43333333333333335,0.5142857142857142,2026-01-28,2026-04-27T17:02:55.358077+00:00
CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,h5,0.4,0.3076923076923077,2026-01-28,2026-04-27T20:49:06.652582+00:00
