company,model_name,pca_n_components,explained_variance_ratio,explained_variance_cumsum
BANCO GUAYAQUIL S.A.,BANCO_GUAYAQUIL_SA_h5,5,"[0.9089813973808708, 0.032923792510340034, 0.016892698360838208, 0.01062356772885805, 0.007791628696104163]","[0.9089813973808708, 0.9419051898912109, 0.958797888252049, 0.9694214559809071, 0.9772130846770113]"
CORPORACION FAVORITA C.A.,CORPORACION_FAVORITA_CA_h5,5,"[0.427456694455552, 0.23154634774503902, 0.11993730887123732, 0.04529768408010161, 0.03605646453491126]","[0.427456694455552, 0.659003042200591, 0.7789403510718284, 0.82423803515193, 0.8602944996868412]"
